#  L TT            EE            BB            TE            PP            PT            PE           
   0 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
   1 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
   2 9.7346823e+02 2.9279666e-02 1.5372646e-06 2.4806969e+00 4.7447693e-08 2.8641258e-03 -1.1632395e-05
   3 9.2208279e+02 3.7589837e-02 3.0749659e-06 2.7930180e+00 5.8153181e-08 2.8653405e-03 -1.2451857e-05
   4 8.7279055e+02 3.2535647e-02 5.1259099e-06 2.6190797e+00 6.6936923e-08 2.7928531e-03 -1.0500333e-05
   5 8.3602812e+02 2.1698358e-02 7.6906689e-06 2.2307113e+00 7.4590653e-08 2.6947266e-03 -7.1115978e-06
   6 8.1095241e+02 1.2141330e-02 1.0769950e-05 1.7980532e+00 8.1271024e-08 2.5909713e-03 -3.4088013e-06
   7 7.9509633e+02 6.5718418e-03 1.4364588e-05 1.4144896e+00 8.7149735e-08 2.4901133e-03 -2.3755674e-07
   8 7.8568422e+02 4.2436381e-03 1.8475542e-05 1.1198624e+00 9.2351357e-08 2.3921497e-03 1.8655521e-06
   9 7.8110523e+02 3.4009417e-03 2.3103885e-05 9.2011336e-01 9.6975306e-08 2.2960771e-03 2.7131391e-06
  10 7.8034983e+02 2.8945751e-03 2.8250796e-05 8.0709721e-01 1.0109936e-07 2.2038574e-03 2.4841676e-06
  11 7.8214414e+02 2.4389200e-03 3.3917553e-05 7.6485780e-01 1.0478829e-07 2.1187621e-03 1.6065637e-06
  12 7.8646987e+02 2.1410633e-03 4.0105518e-05 7.7494688e-01 1.0809173e-07 2.0421295e-03 5.2952621e-07
  13 7.9283049e+02 2.0659681e-03 4.6816132e-05 8.1528641e-01 1.1105549e-07 1.9723853e-03 -4.3634138e-07
  14 7.9980858e+02 2.1532531e-03 5.4050903e-05 8.6564245e-01 1.1371438e-07 1.9064585e-03 -1.1130323e-06
  15 8.0728902e+02 2.3281159e-03 6.1811389e-05 9.1963679e-01 1.1609760e-07 1.8421052e-03 -1.3878877e-06
  16 8.1632279e+02 2.5753653e-03 7.0099193e-05 9.7788875e-01 1.1823428e-07 1.7789458e-03 -1.2083168e-06
  17 8.2684178e+02 2.9346722e-03 7.8915946e-05 1.0381521e+00 1.2014757e-07 1.7181130e-03 -7.3861096e-07
  18 8.3808451e+02 3.4456829e-03 8.8263297e-05 1.0997600e+00 1.2185858e-07 1.6608089e-03 -1.9807686e-07
  19 8.5080783e+02 4.1110482e-03 9.8142900e-05 1.1657883e+00 1.2338530e-07 1.6072545e-03 1.7819739e-07
  20 8.6330769e+02 4.9082325e-03 1.0855640e-04 1.2309512e+00 1.2474450e-07 1.5572982e-03 2.2220114e-07
  21 8.7620860e+02 5.8313841e-03 1.1950543e-04 1.2996916e+00 1.2595029e-07 1.5101768e-03 4.0984257e-08
  22 8.8949069e+02 6.8920507e-03 1.3099157e-04 1.3722743e+00 1.2701557e-07 1.4651645e-03 -2.0864022e-07
  23 9.0279624e+02 8.0824079e-03 1.4301638e-04 1.4460471e+00 1.2795133e-07 1.4222138e-03 -4.3723356e-07
  24 9.1649225e+02 9.3994788e-03 1.5558137e-04 1.5176614e+00 1.2876789e-07 1.3813982e-03 -5.9132009e-07
  25 9.3075782e+02 1.0848137e-02 1.6868795e-04 1.5794421e+00 1.2947463e-07 1.3425796e-03 -6.9248229e-07
  26 9.4512502e+02 1.2441108e-02 1.8233749e-04 1.6351897e+00 1.3008047e-07 1.3055462e-03 -7.6359074e-07
  27 9.5993472e+02 1.4190034e-02 1.9653126e-04 1.6859745e+00 1.3059263e-07 1.2699814e-03 -7.5928687e-07
  28 9.7495850e+02 1.6089014e-02 2.1127045e-04 1.7273081e+00 1.3101796e-07 1.2356419e-03 -6.3743123e-07
  29 9.9018784e+02 1.8161774e-02 2.2655614e-04 1.7644333e+00 1.3136271e-07 1.2026582e-03 -4.3544073e-07
  30 1.0058860e+03 2.0434339e-02 2.4238929e-04 1.7907683e+00 1.3163292e-07 1.1712148e-03 -2.1950635e-07
  31 1.0213786e+03 2.2903163e-02 2.5877078e-04 1.8166873e+00 1.3183398e-07 1.1413328e-03 -9.2528826e-08
  32 1.0373909e+03 2.5584932e-02 2.7570136e-04 1.8367264e+00 1.3197099e-07 1.1129379e-03 -1.3610865e-07
  33 1.0534068e+03 2.8439393e-02 2.9318165e-04 1.8494980e+00 1.3204830e-07 1.0857286e-03 -3.1171125e-07
  34 1.0694547e+03 3.1491370e-02 3.1121217e-04 1.8561992e+00 1.3207008e-07 1.0594062e-03 -5.4258301e-07
  35 1.0862195e+03 3.4745684e-02 3.2979329e-04 1.8473151e+00 1.3203985e-07 1.0338972e-03 -7.1801569e-07
  36 1.1028627e+03 3.8229698e-02 3.4892528e-04 1.8328613e+00 1.3196126e-07 1.0092269e-03 -7.4637356e-07
  37 1.1197520e+03 4.1971656e-02 3.6860827e-04 1.8077574e+00 1.3183872e-07 9.8558591e-04 -6.4479341e-07
  38 1.1368318e+03 4.5962392e-02 3.8884229e-04 1.7747524e+00 1.3167599e-07 9.6313236e-04 -4.6167755e-07
  39 1.1540452e+03 5.0189574e-02 4.0962725e-04 1.7334031e+00 1.3147356e-07 9.4172873e-04 -2.6245078e-07
  40 1.1714033e+03 5.4642701e-02 4.3096292e-04 1.6814468e+00 1.3123104e-07 9.2116541e-04 -1.1658081e-07
  41 1.1888985e+03 5.9316402e-02 4.5284900e-04 1.6172941e+00 1.3094950e-07 9.0126792e-04 -7.5401296e-08
  42 1.2065588e+03 6.4225318e-02 4.7528507e-04 1.5419820e+00 1.3063519e-07 8.8199413e-04 -1.1860952e-07
  43 1.2244082e+03 6.9388927e-02 4.9827062e-04 1.4568050e+00 1.3029564e-07 8.6333574e-04 -2.0813963e-07
  44 1.2425077e+03 7.4824552e-02 5.2180505e-04 1.3614529e+00 1.2993842e-07 8.4528520e-04 -3.0606231e-07
  45 1.2609333e+03 8.0546690e-02 5.4588770e-04 1.2553112e+00 1.2957112e-07 8.2783556e-04 -3.7456960e-07
  46 1.2796524e+03 8.6564046e-02 5.7051782e-04 1.1381411e+00 1.2919879e-07 8.1097296e-04 -3.8703524e-07
  47 1.2986072e+03 9.2873875e-02 5.9569463e-04 1.0093506e+00 1.2881691e-07 7.9465688e-04 -3.6116492e-07
  48 1.3177207e+03 9.9463704e-02 6.2141727e-04 8.6824062e-01 1.2841847e-07 7.7883998e-04 -3.2566746e-07
  49 1.3369306e+03 1.0632031e-01 6.4768488e-04 7.1418660e-01 1.2799646e-07 7.6347546e-04 -3.0917403e-07
  50 1.3562415e+03 1.1344162e-01 6.7449654e-04 5.4670279e-01 1.2754401e-07 7.4851691e-04 -3.4024590e-07
  51 1.3756760e+03 1.2082808e-01 7.0185136e-04 3.6563805e-01 1.2705643e-07 7.3393144e-04 -4.3702217e-07
  52 1.3952018e+03 1.2848574e-01 7.2974841e-04 1.7197746e-01 1.2653748e-07 7.1973797e-04 -5.7619391e-07
  53 1.4147822e+03 1.3641874e-01 7.5818679e-04 -3.3219736e-02 1.2599323e-07 7.0596934e-04 -7.2416245e-07
  54 1.4344327e+03 1.4463194e-01 7.8716564e-04 -2.4975345e-01 1.2542960e-07 6.9265784e-04 -8.4740232e-07
  55 1.4541835e+03 1.5313170e-01 8.1668409e-04 -4.7779320e-01 1.2485253e-07 6.7983604e-04 -9.1245506e-07
  56 1.4741746e+03 1.6191706e-01 8.4674137e-04 -7.1816882e-01 1.2426716e-07 6.6752298e-04 -8.9597895e-07
